No.,PosX,PosY,PosZ,Rx,Ry,Rz,DWNx,DWNy,DWNz,Lx,Ly,Lz,
146,0.653557164,0.301053507,-1.23288E-07,0.653557241,0.301053431,0.012699877,0.662089493,0.290336603,-2.32877E-07,0.653557088,0.301053583,-0.012700123,
147,0.658915616,0.305319671,-1.23288E-07,0.658915693,0.305319595,0.012699877,0.667447945,0.294602767,-2.32877E-07,0.65891554,0.305319747,-0.012700123,
148,0.664274068,0.309585822,-1.23288E-07,0.664274145,0.309585746,0.012699877,0.672806397,0.298868918,-2.46575E-07,0.664273992,0.309585898,-0.012700123,
149,0.669632521,0.313851986,-1.36986E-07,0.669632597,0.313851897,0.012699863,0.678164849,0.303135082,-2.60274E-07,0.669632444,0.313852075,-0.012700137,
150,0.674990973,0.318118151,-1.36986E-07,0.674991049,0.318118062,0.012699863,0.683523301,0.307401247,-2.60274E-07,0.674990896,0.31811824,-0.012700137,
151,0.680349411,0.322384315,-1.36986E-07,0.680349487,0.322384226,0.012699863,0.68888174,0.311667411,-2.73973E-07,0.680349335,0.322384404,-0.012700137,
152,0.685707863,0.326650479,-1.50685E-07,0.685707952,0.326650391,0.012699849,0.694240192,0.315933575,-2.87671E-07,0.685707774,0.326650568,-0.012700151,
153,0.691066315,0.33091663,-1.50685E-07,0.691066404,0.330916529,0.012699849,0.699598644,0.320199726,-2.87671E-07,0.691066226,0.330916732,-0.012700151,
154,0.696424767,0.335182795,-1.50685E-07,0.696424856,0.335182693,0.012699849,0.704957096,0.32446589,-2.87671E-07,0.696424678,0.335182896,-0.012700151,
155,0.701783219,0.339448959,-1.50685E-07,0.701783308,0.339448857,0.012699849,0.710315548,0.328732055,-3.0137E-07,0.70178313,0.339449061,-0.012700151,
156,0.707141671,0.343715123,-1.64384E-07,0.70714176,0.343715022,0.012699836,0.715674,0.332998219,-3.15068E-07,0.707141582,0.343715225,-0.012700164,
157,0.71250011,0.347981288,-1.64384E-07,0.712500198,0.347981186,0.012699836,0.721032438,0.337264384,-3.15068E-07,0.712500021,0.347981389,-0.012700164,
158,0.717858562,0.352247438,-1.64384E-07,0.717858663,0.352247324,0.012699836,0.72639089,0.341530534,-3.28767E-07,0.71785846,0.352247553,-0.012700164,
159,0.723217014,0.356513603,-1.78082E-07,0.723217115,0.356513488,0.012699822,0.731749342,0.345796699,-3.42466E-07,0.723216912,0.356513717,-0.012700178,
160,0.728575466,0.360779767,-1.78082E-07,0.728575567,0.360779653,0.012699822,0.737107795,0.350062863,-3.42466E-07,0.728575364,0.360779881,-0.012700178,
